Name,Country,les Escaldes,Andorra
Andorra la Vella,Andorra
Warīsān,United Arab Emirates
Umm Suqaym,United Arab Emirates
Umm Al Quwain City,United Arab Emirates
Ţarīf Kalbā,United Arab Emirates
Ar Rāshidīyah,United Arab Emirates
Ras Al Khaimah City,United Arab Emirates
Zayed City,United Arab Emirates
Khawr Fakkān,United Arab Emirates
Kalbā,United Arab Emirates
Jumayrā,United Arab Emirates
Dubai,United Arab Emirates
Dibba Al-Fujairah,United Arab Emirates
Dibba Al-Hisn,United Arab Emirates
Dayrah,United Arab Emirates
Sharjah,United Arab Emirates
Ar Ruways,United Arab Emirates
Ḩattā,United Arab Emirates
Al Fujairah City,United Arab Emirates
Al Ain City,United Arab Emirates
Ajman City,United Arab Emirates
Adh Dhayd,United Arab Emirates
Abu Dhabi,United Arab Emirates
Abū Hayl,United Arab Emirates
As Saţwah,United Arab Emirates
Al Ḩamīdīyah,United Arab Emirates
Al Waheda,United Arab Emirates
Al Karama,United Arab Emirates
The Palm Jumeirah,United Arab Emirates
Bur Dubai,United Arab Emirates
Khalifah A City,United Arab Emirates
Mirdif,United Arab Emirates
Hawr al ‘Anz,United Arab Emirates
Mankhūl,United Arab Emirates
Nāyf,United Arab Emirates
Al Murar al Qadīm,United Arab Emirates
Al Warqaa,United Arab Emirates
International City,United Arab Emirates
Dubai Marina,United Arab Emirates
Dubai Internet City,United Arab Emirates
Al Safa,United Arab Emirates
Ar Rumaylah,United Arab Emirates
Al Jurf,United Arab Emirates
Al Majaz,United Arab Emirates
Dubai Festival City,United Arab Emirates
Dubai International Financial Centre,United Arab Emirates
Dubai Investments Park,United Arab Emirates
Jebel Ali,United Arab Emirates
Bani Yas City,United Arab Emirates
Musaffah,United Arab Emirates
Al Shamkhah City,United Arab Emirates
Reef Al Fujairah City,United Arab Emirates
Al Bada'a,United Arab Emirates
Al Muteena,United Arab Emirates
Al Mizhar First,United Arab Emirates
Dubai Silicon Oasis,United Arab Emirates
Al Furjan,United Arab Emirates
Business Bay,United Arab Emirates
Al Qusais 1,United Arab Emirates
Halwan,United Arab Emirates
Al Sajaah,United Arab Emirates
Lahbab,United Arab Emirates
Mohammed Bin Zayed City,United Arab Emirates
Zaranj,Afghanistan
Bāzār-e Yakāwlang,Afghanistan
Taloqan,Afghanistan
Shīnḏanḏ,Afghanistan
Shibirghān,Afghanistan
Shahrak,Afghanistan
Sar-e Pul,Afghanistan
Sang-e Chārak,Afghanistan
Aībak,Afghanistan
Rustāq,Afghanistan
Qarqīn,Afghanistan
Qarāwul,Afghanistan
Pul-e Khumrī,Afghanistan
Paghmān,Afghanistan
Nīlī,Afghanistan
Nahrīn,Afghanistan
Maymana,Afghanistan
Mehtar Lām,Afghanistan
Mazār-e Sharīf,Afghanistan
Lashkar Gāh,Afghanistan
Kushk,Afghanistan
Kunduz,Afghanistan
Khōst,Afghanistan
Khulm,Afghanistan
Khāsh,Afghanistan
Khān Neshīn,Afghanistan
Khanabad,Afghanistan
Karukh,Afghanistan
Kandahār,Afghanistan
Kabul,Afghanistan
Jalālābād,Afghanistan
Jabal os Saraj,Afghanistan
Herāt,Afghanistan
Ghormach,Afghanistan
Ghazni,Afghanistan
Gereshk,Afghanistan
Gardez,Afghanistan
Fayzabad,Afghanistan
Farah,Afghanistan
Eslam Qaleh,Afghanistan
Charikar,Afghanistan
Baraki Barak,Afghanistan
Bāmyān,Afghanistan
Balkh,Afghanistan
Baghlān,Afghanistan
Ārt Khwājah,Afghanistan
Āsmār,Afghanistan
Asadābād,Afghanistan
Andkhōy,Afghanistan
Bāzārak,Afghanistan
Markaz-e Woluswalī-ye Āchīn,Afghanistan
Saint John’s,Antigua and Barbuda
The Valley,Anguilla
Sarandë,Albania
Pogradec,Albania
Librazhd,Albania
Kukës,Albania
Korçë,Albania
Gjirokastër,Albania
Elbasan,Albania
Bulqizë,Albania
Vlorë,Albania
Tirana,Albania
Shkodër,Albania
Peqin,Albania
Patos Fshat,Albania
Patos,Albania
Lushnjë,Albania
Lezhë,Albania
Kuçovë,Albania
Krujë,Albania
Kavajë,Albania
Fier-Çifçi,Albania
Fier,Albania
Durrës,Albania
Berat,Albania
Kapan,Armenia
Goris,Armenia
Artashat,Armenia
